date,hour,pollution
2014-01-01,0,24.000000000000007
2014-01-01,1,53.00000000000001
2014-01-01,2,64.99999999999997
2014-01-01,3,70
2014-01-01,4,78.99999999999997
2014-01-01,5,92.00000000000003
2014-01-01,6,105.99999999999996
2014-01-01,7,75
2014-01-01,8,58.000000000000014
2014-01-01,9,33.00000000000001
2014-01-01,10,50.999999999999986
2014-01-01,11,31.999999999999986
2014-01-01,12,23.000000000000004
2014-01-01,13,28.000000000000004
2014-01-01,14,23.000000000000004
2014-01-01,15,24.000000000000007
2014-01-01,16,26
2014-01-01,17,26
2014-01-01,18,26.999999999999996
2014-01-01,19,42.99999999999999
2014-01-01,20,61.99999999999999
2014-01-01,21,70
2014-01-01,22,81.00000000000001
2014-01-01,23,110.99999999999996
2014-01-02,0,143.99999999999997
2014-01-02,1,170.00000000000009
2014-01-02,2,174.00000000000009
2014-01-02,3,174.00000000000009
2014-01-02,4,172.00000000000006
2014-01-02,5,148.99999999999997
2014-01-02,6,166.00000000000006
2014-01-02,7,187
2014-01-02,8,107.00000000000003
2014-01-02,9,114.00000000000001
2014-01-02,10,107.99999999999997
2014-01-02,11,102.00000000000001
2014-01-02,12,94.99999999999999
2014-01-02,13,126.99999999999997
2014-01-02,14,125
2014-01-02,15,127.99999999999997
2014-01-02,16,145.99999999999997
2014-01-02,17,165.00000000000006
2014-01-02,18,173
2014-01-02,19,194.99999999999991
2014-01-02,20,238.99999999999997
2014-01-02,21,231.99999999999991
2014-01-02,22,241.99999999999994
2014-01-02,23,269.00000000000006
2014-01-03,0,263.99999999999994
2014-01-03,1,219.99999999999991
2014-01-03,2,145.99999999999997
2014-01-03,3,33.99999999999999
2014-01-03,4,33.99999999999999
2014-01-03,5,35
2014-01-03,6,45
2014-01-03,7,42.99999999999999
2014-01-03,8,42.99999999999999
2014-01-03,9,35.99999999999998
2014-01-03,10,35.99999999999998
2014-01-03,11,23.000000000000004
2014-01-03,12,25.000000000000004
2014-01-03,13,29.000000000000004
2014-01-03,14,26
2014-01-03,15,21.000000000000004
2014-01-03,16,25.000000000000004
2014-01-03,17,31
2014-01-03,18,42.99999999999999
2014-01-03,19,45.99999999999999
2014-01-03,20,50
2014-01-03,21,68.00000000000001
2014-01-03,22,60.00000000000001
2014-01-03,23,102.99999999999999
2014-01-04,0,84.99999999999997
2014-01-04,1,86
2014-01-04,2,89
2014-01-04,3,77
2014-01-04,4,77
2014-01-04,5,75
2014-01-04,6,80.00000000000003
2014-01-04,7,86
2014-01-04,8,94.99999999999999
2014-01-04,9,100.99999999999996
2014-01-04,10,132
2014-01-04,11,153.00000000000006
2014-01-04,12,173
2014-01-04,13,178
2014-01-04,14,175.99999999999994
2014-01-04,15,208.99999999999994
2014-01-04,16,219.00000000000009
2014-01-04,17,224
2014-01-04,18,212.00000000000009
2014-01-04,19,220.99999999999997
2014-01-04,20,220.99999999999997
2014-01-04,21,216.99999999999997
2014-01-04,22,202.99999999999994
2014-01-04,23,220.99999999999997
2014-01-05,0,192
2014-01-05,1,183.00000000000006
2014-01-05,2,174.99999999999991
2014-01-05,3,176.99999999999997
2014-01-05,4,183.00000000000006
2014-01-05,5,155
2014-01-05,6,151
2014-01-05,7,137.00000000000006
2014-01-05,8,109.00000000000004
2014-01-05,9,140.00000000000003
2014-01-05,10,117.00000000000004
2014-01-05,11,127.99999999999997
2014-01-05,12,54.000000000000014
2014-01-05,13,33.99999999999999
2014-01-05,14,31.999999999999986
2014-01-05,15,28.000000000000004
2014-01-05,16,29.000000000000004
2014-01-05,17,36.99999999999999
2014-01-05,18,45.99999999999999
2014-01-05,19,54.000000000000014
2014-01-05,20,53.00000000000001
2014-01-05,21,47.00000000000001
2014-01-05,22,112.00000000000003
2014-01-05,23,125
2014-01-06,0,127.99999999999997
2014-01-06,1,125.99999999999999
2014-01-06,2,153.00000000000006
2014-01-06,3,157.00000000000003
2014-01-06,4,143.99999999999997
2014-01-06,5,137.99999999999997
2014-01-06,6,127.99999999999997
2014-01-06,7,125.99999999999999
2014-01-06,8,125.99999999999999
2014-01-06,9,158.99999999999994
2014-01-06,10,148.99999999999997
2014-01-06,11,123.00000000000003
2014-01-06,12,150
2014-01-06,13,145.99999999999997
2014-01-06,14,145
2014-01-06,15,160.00000000000003
2014-01-06,16,148
2014-01-06,17,155.99999999999994
2014-01-06,18,158
2014-01-06,19,166.99999999999997
2014-01-06,20,170.99999999999994
2014-01-06,21,176.99999999999997
2014-01-06,22,185.00000000000009
2014-01-06,23,201.00000000000006
2014-01-07,0,216.99999999999997
2014-01-07,1,207.99999999999997
2014-01-07,2,204.00000000000006
2014-01-07,3,212.99999999999994
2014-01-07,4,256.00000000000006
2014-01-07,5,210.99999999999997
2014-01-07,6,202.99999999999994
2014-01-07,7,212.00000000000009
2014-01-07,8,205.00000000000003
2014-01-07,9,196
2014-01-07,10,182.00000000000009
2014-01-07,11,124.00000000000004
2014-01-07,12,102.00000000000001
2014-01-07,13,77
2014-01-07,14,47.99999999999999
2014-01-07,15,37.99999999999999
2014-01-07,16,31
2014-01-07,17,26.999999999999996
2014-01-07,18,33.00000000000001
2014-01-07,19,35
2014-01-07,20,29.000000000000004
2014-01-07,21,24.000000000000007
2014-01-07,22,26
2014-01-07,23,11
2014-01-08,0,14
2014-01-08,1,12
2014-01-08,2,9.000000000000002
2014-01-08,3,11
2014-01-08,4,14.999999999999998
2014-01-08,5,12.999999999999996
2014-01-08,6,14.999999999999998
2014-01-08,7,16.999999999999996
2014-01-08,8,18.999999999999996
2014-01-08,9,17.999999999999996
2014-01-08,10,21.000000000000004
2014-01-08,11,16.999999999999996
2014-01-08,12,22
2014-01-08,13,23.000000000000004
2014-01-08,14,16
2014-01-08,15,22
2014-01-08,16,17.999999999999996
2014-01-08,17,16.999999999999996
2014-01-08,18,21.000000000000004
2014-01-08,19,23.000000000000004
2014-01-08,20,22
2014-01-08,21,21.000000000000004
2014-01-08,22,23.000000000000004
2014-01-08,23,53.00000000000001
2014-01-09,0,65.99999999999997
2014-01-09,1,52.00000000000001
2014-01-09,2,30
2014-01-09,3,10.000000000000002
2014-01-09,4,10.000000000000002
2014-01-09,5,12.999999999999996
2014-01-09,6,11
2014-01-09,7,14
2014-01-09,8,20
2014-01-09,9,22
2014-01-09,10,23.000000000000004
2014-01-09,11,20
2014-01-09,12,16.999999999999996
2014-01-09,13,14
2014-01-09,14,10.000000000000002
2014-01-09,15,10.000000000000002
2014-01-09,16,26.999999999999996
2014-01-09,17,44.000000000000014
2014-01-09,18,53.00000000000001
2014-01-09,19,58.999999999999986
2014-01-09,20,56.00000000000001
2014-01-09,21,58.000000000000014
2014-01-09,22,65.99999999999997
2014-01-09,23,73.00000000000003
2014-01-10,0,82.99999999999999
2014-01-10,1,81.00000000000001
2014-01-10,2,91.00000000000001
2014-01-10,3,103.99999999999997
2014-01-10,4,87.99999999999999
2014-01-10,5,84.99999999999997
2014-01-10,6,65.99999999999997
2014-01-10,7,47.00000000000001
2014-01-10,8,70
2014-01-10,9,61.00000000000001
2014-01-10,10,47.00000000000001
2014-01-10,11,61.00000000000001
2014-01-10,12,69.00000000000003
2014-01-10,13,65.99999999999997
2014-01-10,14,62.99999999999998
2014-01-10,15,42.99999999999999
2014-01-10,16,47.99999999999999
2014-01-10,17,67.00000000000001
2014-01-10,18,87.00000000000003
2014-01-10,19,126.99999999999997
2014-01-10,20,125.99999999999999
2014-01-10,21,125.99999999999999
2014-01-10,22,105.99999999999996
2014-01-10,23,103.99999999999997
2014-01-11,0,118.00000000000003
2014-01-11,1,141.00000000000003
2014-01-11,2,198.99999999999991
2014-01-11,3,262.00000000000006
2014-01-11,4,234
2014-01-11,5,220.99999999999997
2014-01-11,6,176.99999999999997
2014-01-11,7,135.00000000000006
2014-01-11,8,107.99999999999997
2014-01-11,9,97.00000000000004
2014-01-11,10,87.00000000000003
2014-01-11,11,84.99999999999997
2014-01-11,12,81.00000000000001
2014-01-11,13,82.00000000000003
2014-01-11,14,81.00000000000001
2014-01-11,15,110.99999999999996
2014-01-11,16,143
2014-01-11,17,153.00000000000006
2014-01-11,18,189
2014-01-11,19,244.0000000000001
2014-01-11,20,273.00000000000006
2014-01-11,21,218.00000000000003
2014-01-11,22,227.00000000000006
2014-01-11,23,94.99999999999999
2014-01-12,0,20
2014-01-12,1,0
2014-01-12,2,0
2014-01-12,3,0
2014-01-12,4,0
2014-01-12,5,0
2014-01-12,6,12
2014-01-12,7,12
2014-01-12,8,16.999999999999996
2014-01-12,9,33.00000000000001
2014-01-12,10,22
2014-01-12,11,20
2014-01-12,12,10.000000000000002
2014-01-12,13,14
2014-01-12,14,12
2014-01-12,15,12
2014-01-12,16,8.000000000000002
2014-01-12,17,18.999999999999996
2014-01-12,18,40.00000000000001
2014-01-12,19,36.99999999999999
2014-01-12,20,42
2014-01-12,21,56.00000000000001
2014-01-12,22,61.99999999999999
2014-01-12,23,56.999999999999986
2014-01-13,0,56.999999999999986
2014-01-13,1,75
2014-01-13,2,96
2014-01-13,3,109.99999999999997
2014-01-13,4,97.00000000000004
2014-01-13,5,104.99999999999997
2014-01-13,6,84.00000000000001
2014-01-13,7,105.99999999999996
2014-01-13,8,112.00000000000003
2014-01-13,9,120.00000000000003
2014-01-13,10,117.00000000000004
2014-01-13,11,118.00000000000003
2014-01-13,12,105.99999999999996
2014-01-13,13,96
2014-01-13,14,82.00000000000003
2014-01-13,15,62.99999999999998
2014-01-13,16,78.99999999999997
2014-01-13,17,125
2014-01-13,18,118.99999999999997
2014-01-13,19,114.99999999999999
2014-01-13,20,130.99999999999997
2014-01-13,21,176.99999999999997
2014-01-13,22,287.00000000000006
2014-01-13,23,298.99999999999994
2014-01-14,0,249.9999999999999
2014-01-14,1,158.99999999999994
2014-01-14,2,124.00000000000004
2014-01-14,3,123.00000000000003
2014-01-14,4,48.99999999999999
2014-01-14,5,35.99999999999998
2014-01-14,6,58.999999999999986
2014-01-14,7,84.99999999999997
2014-01-14,8,170.00000000000009
2014-01-14,9,180.00000000000006
2014-01-14,10,227.00000000000006
2014-01-14,11,198.99999999999991
2014-01-14,12,168
2014-01-14,13,93
2014-01-14,14,80.00000000000003
2014-01-14,15,110.99999999999996
2014-01-14,16,132.99999999999997
2014-01-14,17,135.00000000000006
2014-01-14,18,94
2014-01-14,19,102.99999999999999
2014-01-14,20,92.00000000000003
2014-01-14,21,93
2014-01-14,22,109.00000000000004
2014-01-14,23,121.99999999999994
2014-01-15,0,123.00000000000003
2014-01-15,1,121.99999999999994
2014-01-15,2,172.00000000000006
2014-01-15,3,212.99999999999994
2014-01-15,4,196
2014-01-15,5,158
2014-01-15,6,102.99999999999999
2014-01-15,7,89.99999999999997
2014-01-15,8,70
2014-01-15,9,67.00000000000001
2014-01-15,10,65.99999999999997
2014-01-15,11,52.00000000000001
2014-01-15,12,55.00000000000002
2014-01-15,13,50.999999999999986
2014-01-15,14,47.00000000000001
2014-01-15,15,47.99999999999999
2014-01-15,16,60.00000000000001
2014-01-15,17,87.99999999999999
2014-01-15,18,278.9999999999999
2014-01-15,19,434.99999999999994
2014-01-15,20,488.99999999999983
2014-01-15,21,513.0000000000002
2014-01-15,22,539.0000000000002
2014-01-15,23,567.0000000000001
2014-01-16,0,569.0000000000002
2014-01-16,1,658.9999999999999
2014-01-16,2,648.0000000000002
2014-01-16,3,651.0000000000001
2014-01-16,4,671
2014-01-16,5,623.0000000000001
2014-01-16,6,618.0000000000001
2014-01-16,7,531.9999999999999
2014-01-16,8,477.0000000000002
2014-01-16,9,479
2014-01-16,10,489.9999999999999
2014-01-16,11,476.00000000000017
2014-01-16,12,457.00000000000017
2014-01-16,13,327.0000000000001
2014-01-16,14,160.99999999999994
2014-01-16,15,286.00000000000006
2014-01-16,16,298.0000000000001
2014-01-16,17,309.99999999999994
2014-01-16,18,332
2014-01-16,19,390.9999999999999
2014-01-16,20,437.0000000000001
2014-01-16,21,421.99999999999983
2014-01-16,22,320
2014-01-16,23,346.00000000000006
2014-01-17,0,350.9999999999999
2014-01-17,1,297.00000000000006
2014-01-17,2,290.0000000000001
2014-01-17,3,249.9999999999999
2014-01-17,4,170.00000000000009
2014-01-17,5,102.99999999999999
2014-01-17,6,78.99999999999997
2014-01-17,7,73.00000000000003
2014-01-17,8,73.99999999999997
2014-01-17,9,77
2014-01-17,10,81.00000000000001
2014-01-17,11,94.99999999999999
2014-01-17,12,114.99999999999999
2014-01-17,13,77
2014-01-17,14,67.00000000000001
2014-01-17,15,12.999999999999996
2014-01-17,16,12
2014-01-17,17,10.000000000000002
2014-01-17,18,194.99999999999991
2014-01-17,19,238.00000000000009
2014-01-17,20,292.99999999999994
2014-01-17,21,384.00000000000017
2014-01-17,22,381.00000000000006
2014-01-17,23,296.00000000000006
2014-01-18,0,37.99999999999999
2014-01-18,1,18.999999999999996
2014-01-18,2,22
2014-01-18,3,20
2014-01-18,4,14
2014-01-18,5,23.000000000000004
2014-01-18,6,18.999999999999996
2014-01-18,7,22
2014-01-18,8,33.00000000000001
2014-01-18,9,42
2014-01-18,10,40.00000000000001
2014-01-18,11,42.99999999999999
2014-01-18,12,56.00000000000001
2014-01-18,13,56.999999999999986
2014-01-18,14,153.00000000000006
2014-01-18,15,107.99999999999997
2014-01-18,16,89
2014-01-18,17,87.00000000000003
